Industry,Symbol
Farm Products,1117.HK
Steel,1118.HK
Electronic Gaming & Multimedia,1119.HK
Medical Instruments & Supplies,1120.HK
Footwear & Accessories,1121.HK
Farm & Heavy Construction Machinery,1122.HK
Leisure,1123.HK
Real Estate—Development,1124.HK
Real Estate—Development,1125.HK
Leisure,1126.HK
Specialty Business Services,1127.HK
Resorts & Casinos,1128.HK
Utilities—Regulated Water,1129.HK
Auto & Truck Dealerships,1130.HK
Entertainment,1132.HK
Specialty Industrial Machinery,1133.HK
Medical Instruments & Supplies,1134.HK
Internet Retail,1137.HK
Marine Shipping,1138.HK
Asset Management,1140.HK
Capital Markets,1141.HK
Oil & Gas Refining & Marketing,1142.HK
Consumer Electronics,1143.HK
Marine Shipping,1145.HK
Apparel Manufacturing,1146.HK
Information Technology Services,1147.HK
Auto Parts,1148.HK
Luxury Goods,1150.HK
Food Distribution,1152.HK
Real Estate Services,1153.HK
Oil & Gas Equipment & Services,1156.HK
Farm & Heavy Construction Machinery,1157.HK
Entertainment,1159.HK
Asset Management,1160.HK
Personal Services,1161.HK
Security & Protection Services,1162.HK
Advertising Agencies,1163.HK
Uranium,1164.HK
Utilities—Renewable,1165.HK
Electrical Equipment & Parts,1166.HK
Biotechnology,1167.HK
Real Estate—Diversified,1168.HK
Footwear & Accessories,1170.HK
Thermal Coal,1171.HK
Specialty Business Services,1172.HK
Household & Personal Products,1173.HK
Real Estate—Development,1176.HK
Biotechnology,1177.HK
Lodging,1179.HK
Resorts & Casinos,1180.HK
Restaurants,1181.HK
Specialty Business Services,1182.HK
Engineering & Construction,1183.HK
Electronics & Computer Distribution,1184.HK
Utilities—Renewable,1185.HK
Engineering & Construction,1186.HK
Auto Parts,1188.HK
